Timestamp,What is your country of origin?,In which country do you currently reside ?,How old are you ?,Sex,What is your blood group ?,Are you in a relationship ?,What is the blood group of your partner ?,I like helping people.,I enjoy being part of a group.,I choose my words with care.,I take charge.,I get nervous talking to people I don't know. ,I like order.,I get upset easily.,I am modest about what I have achieved.,I seek adventure.,I enjoy being the center of attention. ,I prefer variety to routine.,I feel others' emotions.,I find it hard to trust people. ,I avoid arguing even when I disagree. ,I avoid being alone.,I am more of a detailed-oriented than a big picture person. ,I tend to focus on present realities rather than future possibilities. ,I would rather go with the flow than have a set schedule.,I often talk about my own feelings and emotions. ,After an exhausting week a fun party is just what I need.,I rarely feel insecure. 
2020/01/26 7:09:06 am GMT-8,Nigeria ,South Africa ,29,Male,A-,No,N/A,Neutral,Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Strongly disagree,Agree
2020/01/26 7:14:20 am GMT-8,Nigeria,USA,31,Female,A+,Yes,A+,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly disagree
2020/01/26 7:47:21 am GMT-8,Nigeria ,Nigeria ,35,Male,A+,Yes,A+,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly agree,Strongly Agree,Strongly disagree,Neutral,Strongly agree,Disagree,Neutral,Strongly disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree
2020/01/26 7:52:05 am GMT-8,Canada,Canada,41,Male,O+,Yes,I don't know,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral
2020/01/26 8:04:26 am GMT-8,A+,USA,30,Female,A+,Yes,O+,Strongly Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Strongly disagree,Strongly agree,Disagree,Strongly agree,Agree,Strongly disagree,Neutral,Agree,Neutral,Disagree,Neutral,Disagree
2020/01/26 8:26:17 am GMT-8,Philippines,Canada,50,Female,B+,Yes,B+,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Strongly Agree,Neutral,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree
2020/01/26 8:54:09 am GMT-8,Nigeria,United States,28,Male,O+,No,N/A,Neutral,Neutral,Strongly Agree,Strongly disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree
2020/01/26 9:15:55 am GMT-8,Nigeria,United States ,22,Female,A+,No,I don't know,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Neutral,Neutral
2020/01/26 9:23:44 am GMT-8,Nigeria,Nigeria,28,Male,O+,No,N/A,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Agree,Strongly disagree,Agree,Agree
2020/01/26 9:57:49 am GMT-8,Nigeria ,USA,27,Male,O-,Yes,O-,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Disagree
2020/01/26 10:25:51 am GMT-8,Ivory Coast,France,27,Male,A+,Yes,B-,Strongly Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral
2020/01/26 10:34:09 am GMT-8,Nigeria ,Nigeria ,28,Male,O+,Yes,I don't know,Strongly Agree,Strongly Agree,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly agree
2020/01/26 11:09:20 am GMT-8,Nigeria ,Nigeria,27,Female,O+,Yes,I don't know,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly agree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly disagree,Strongly agree
2020/01/26 11:10:09 am GMT-8,Nigeria,United States,33,Female,O+,No,N/A,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Strongly disagree,Agree
2020/01/26 11:15:35 am GMT-8,Yemen,Canada,24,Female,A+,Yes,AB+,Agree,Agree,Neutral,Strongly Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral
2020/01/26 12:46:58 pm GMT-8,Ethiopia,Ethiopia,27,Male,AB-,No,I don't know,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree
2020/01/26 3:26:16 pm GMT-8,Nigeria,Nigeria ,20,Female,O+,Yes,O+,Neutral,Neutral,Neutral,Neutral,Strongly agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Disagree
2020/01/26 3:59:47 pm GMT-8,Philippines,Canada,48,Female,O+,Yes,I don't know,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree
2020/01/26 7:52:42 pm GMT-8,Czech ,Canada,42,Female,A+,Yes,A-,Agree,Disagree,Neutral,Agree,Strongly agree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Disagree,Disagree
2020/01/26 7:55:47 pm GMT-8,England ,Canada ,42,Male,A-,Yes,A+,Neutral,Neutral,Agree,Strongly Agree,Strongly disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Agree,Agree,Disagree,Agree
2020/01/26 7:59:20 pm GMT-8,India,Canada,26,Female,O+,Yes,I don't know,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral
2020/01/26 8:00:36 pm GMT-8,Canada ,Canada ,14,Female,A-,No,N/A,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Neutral
2020/01/26 8:38:35 pm GMT-8,Côte D'Ivoire,United States,23,Female,O+,Yes,I don't know,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Agree,Agree,Agree
2020/01/26 8:43:16 pm GMT-8,India,India,28,Female,B+,Yes,B+,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree
2020/01/26 9:38:17 pm GMT-8,Kenya,Kenya,27,Female,O+,No,N/A,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Disagree,Agree,Neutral,Disagree
2020/01/26 10:18:01 pm GMT-8,India,India,27,Male,O+,Yes,AB+,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Strongly agree,Neutral,Disagree,Strongly disagree,Agree,Agree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Agree,Strongly agree,Neutral
2020/01/26 10:52:50 pm GMT-8,India,India,22,Male,B+,No,N/A,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Disagree,Strongly disagree
2020/01/26 11:16:59 pm GMT-8,India,India,27,Male,O+,No,N/A,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Neutral
2020/01/27 12:27:51 am GMT-8,India,Canada,24,Female,O+,No,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Disagree
2020/01/27 12:39:29 am GMT-8,Côte d'ivoire ,France,23 years old,Female,B-,No,I don't know,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree
2020/01/27 12:45:24 am GMT-8,India,Canada,27,Male,O+,Yes,AB+,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Neutral
2020/01/27 1:34:54 am GMT-8,Senegal,Senegal,26,Female,O+,Yes,AB+,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Strongly agree,Neutral,Strongly disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Disagree
2020/01/27 1:36:08 am GMT-8,Senegal ,Senegal ,28,Female,A+,Yes,O+,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly agree,Disagree,Disagree,Agree,Strongly disagree,Strongly agree
2020/01/27 1:39:23 am GMT-8,Senegal ,Senegal ,29,Male,AB+,Yes,I don't know,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly disagree,Neutral,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Neutral,Agree
2020/01/27 1:43:23 am GMT-8,Sénégal ,Sénégal ,34,Female,B+,No,N/A,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Disagree,Agree,Agree,Neutral,Neutral
2020/01/27 2:04:25 am GMT-8,Sénégal ,France ,27 years old ,Female,AB+,No,N/A,Strongly Agree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Strongly Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly agree,Neutral,Disagree,Strongly agree
2020/01/27 2:16:04 am GMT-8,Nigeria,Nigeria,27,Female,O+,Yes,N/A,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree
2020/01/27 2:16:19 am GMT-8,Nigeria,Nigeria,27,Female,O+,Yes,N/A,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly agree
2020/01/27 3:20:04 am GMT-8,Senegal,Senegal,31,Female,O-,Yes,B+,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Agree
2020/01/27 3:21:36 am GMT-8,Nigeri,South Africa,28,Male,A+,Yes,O+,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree
2020/01/27 3:25:47 am GMT-8,Côte d'Ivoire,Côte d'Ivoire,26,Female,O+,Yes,I don't know,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Disagree,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Neutral
2020/01/27 5:21:24 am GMT-8,India,India ,34,Female,O+,Yes,O-,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Disagree,Strongly agree,Neutral,Agree,Disagree,Neutral
2020/01/27 5:41:08 am GMT-8,Côte d'ivoire,France,30,Male,O+,Yes,I don't know,Agree,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Strongly disagree,Neutral,Disagree,Neutral
2020/01/27 5:46:53 am GMT-8,Egypt,Canada,23,Female,A-,Yes,O+,Agree,Neutral,Agree,Agree,Strongly agree,Strongly Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree
2020/01/27 6:12:11 am GMT-8,Sénégal ,Sénégal ,23,Female,O+,Yes,I don't know,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral
2020/01/27 6:19:12 am GMT-8,senegal,senegal,25,Female,A+,Yes,A+,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly disagree,Disagree
2020/01/27 6:21:22 am GMT-8,Senegal ,France ,22,Male,B+,No,N/A,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly agree
2020/01/27 7:54:37 am GMT-8,Senegal,Senegal,29,Male,B+,Yes,B+,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Disagree,Strongly disagree,Disagree
2020/01/27 8:34:39 am GMT-8,Nigeria,Nigeria,29,Female,O+,Yes,O+,Strongly Agree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly agree,Strongly Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly disagree,Neutral
2020/01/27 9:21:41 am GMT-8,Côte d'ivoire,France,26,Male,B-,No,O+,Agree,Neutral,Neutral,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral
2020/01/27 9:28:38 am GMT-8,Cote D’ivoire,United States,26,Male,O+,Yes,O-,Strongly Agree,Neutral,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree
2020/01/27 10:02:57 am GMT-8,India,USA,21,Female,A+,Yes,O+,Agree,Agree,Strongly Agree,Neutral,Disagree,Agree,Strongly Agree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree
2020/01/27 11:36:43 am GMT-8,United States ,Nigeria,25,Female,A+,Yes,B+,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree
2020/01/27 11:55:03 am GMT-8,Nigeria ,Nigeria ,37,Female,B+,Yes,I don't know,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Neutral,Strongly disagree,Neutral,Disagree,Neutral,Agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Agree
2020/01/27 12:29:02 pm GMT-8,Senegal,Senegal,23,Female,B+,No,I don't know,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree
2020/01/27 12:30:34 pm GMT-8,France,France,26,Female,O-,Yes,I don't know,Agree,Strongly Agree,Neutral,Neutral,Strongly disagree,Strongly Agree,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Strongly agree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree
2020/01/27 12:56:03 pm GMT-8,Cote d ivoire ,Côte d'Ivoire,28,Male,O+,Yes,I don't know,Strongly Agree,Strongly Agree,Strongly disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Agree
2020/01/27 1:20:55 pm GMT-8,Russia,Canada,24,Female,A+,Yes,I don't know,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Neutral,Disagree,Agree
2020/01/27 1:31:06 pm GMT-8,Côte d'Ivoire,Côte d'Ivoire,26,Female,B+,Yes,A+,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree
2020/01/27 1:38:52 pm GMT-8,Nigeria,canada,24,Male,A+,Yes,A+,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree
2020/01/27 1:51:27 pm GMT-8,Ivory Coast ,France ,26,Female,B+,Yes,O+,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly agree,Disagree,Neutral
2020/01/27 2:04:26 pm GMT-8,Bulgaria,Canada,102,Male,B-,Yes,I don't know,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly agree,Neutral,Agree
2020/01/27 2:55:34 pm GMT-8,Ghana,USA,28,Male,O+,Yes,I don't know,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree
2020/01/27 3:41:21 pm GMT-8,Mexico,Canada,31,Female,O+,No,N/A,Agree,Agree,Agree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly agree
2020/01/27 3:43:41 pm GMT-8,Senegal,Senegal,24,Female,B+,No,N/A,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Disagree
2020/01/27 3:58:36 pm GMT-8,India,India ,24,Female,O+,No,I don't know,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Neutral
2020/01/27 4:01:17 pm GMT-8,India,India,24,Male,A+,Yes,B+,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Disagree,Strongly agree,Neutral,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree
2020/01/27 4:29:05 pm GMT-8,India,Canada,47,Male,AB+,No,N/A,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Agree
2020/01/27 5:08:12 pm GMT-8,Canada,Canada,60,Female,A+,No,N/A,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Strongly disagree,Neutral,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Strongly disagree,Neutral
2020/01/27 5:20:58 pm GMT-8,Canada,Canada,26,Male,A+,Yes,I don't know,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Strongly agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Neutral
2020/01/27 5:52:25 pm GMT-8,DRC,USA,26,Female,A+,Yes,O+,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly Agree,Disagree,Strongly agree,Agree,Neutral,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree
2020/01/27 6:50:12 pm GMT-8,Cameroon,Mauritius,25,Female,A+,No,N/A,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Neutral
2020/01/27 7:05:17 pm GMT-8,India,India,33,Male,B+,Yes,O+,Agree,Strongly Agree,Disagree,Disagree,Strongly disagree,Strongly Agree,Disagree,Disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree
2020/01/27 7:35:59 pm GMT-8,India ,India ,23,Male,A+,No,N/A,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Neutral,Strongly Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral
2020/01/27 8:27:55 pm GMT-8,United States,Canada,22,Female,O+,Yes,B+,Agree,Agree,Neutral,Neutral,Strongly agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree
2020/01/27 9:27:46 pm GMT-8,Russia,Canada,23,Female,O+,No,N/A,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Agree
2020/01/27 9:53:07 pm GMT-8,Mozambique,Mozambique,30,Female,AB+,Yes,I don't know,Agree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,Disagree,Strongly agree,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Disagree
2020/01/27 10:03:11 pm GMT-8,United States of America,Canada,23,Male,A+,No,N/A,Strongly Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly disagree,Neutral,Strongly agree,Agree,Disagree,Disagree,Strongly disagree,Neutral,Strongly agree,Agree,Neutral,Neutral
2020/01/27 10:11:27 pm GMT-8,India,India,25,Male,B+,No,N/A,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral
2020/01/27 11:17:41 pm GMT-8,Nigeria,Nigeria,25,Female,AB+,Yes,B+,Agree,Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Disagree,Agree,Disagree,Disagree
2020/01/28 12:17:59 am GMT-8,Nigeria,Nigeria,28,Male,A+,Yes,AB+,Strongly Agree,Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree
2020/01/28 12:32:34 am GMT-8,Nigeria,Nigeria,24,Male,A+,Yes,I don't know,Agree,Agree,Neutral,Neutral,Strongly disagree,Neutral,Strongly disagree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Agree
2020/01/28 12:58:52 am GMT-8,Cote d'Ivoire,Cote d'Ivoire,26,Female,O+,Yes,I don't know,Strongly Agree,Agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Agree,Agree,Disagree,Strongly agree,Neutral,Neutral,Disagree,Disagree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral
2020/01/28 1:03:18 am GMT-8,Cameroun,Cameroun,28,Male,B+,Yes,I don't know,Agree,Neutral,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly agree,Agree,Strongly disagree,Neutral,Agree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral
2020/01/28 2:09:21 am GMT-8,Cameroon ,Cameroun ,42,Female,O+,Yes,O+,Agree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly disagree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Disagree,Disagree,Agree,Disagree,Agree
2020/01/28 3:00:29 am GMT-8,Côte d'Ivoire,Côte d'Ivoire,29,Male,O+,Yes,I don't know,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly agree
